,,,
Theme: Society,,,
Subject: Environment,,,
Topic: Air Quality and Climate,,,
"Table Title: Air Temperature And Sunshine, Relative Humidity And Rainfall, Monthly",,,
  2014 Nov,250.8,5.4,82.4
  2014 Oct,120,6,77
  2014 Sep,83.6,7,75.6
  2014 Aug,241,4.5,79.7
  2014 Jul,148.6,5.5,78.3
  2014 Jun,71.4,6,77.5
  2014 May,125.8,5.8,80.2
  2014 Apr,110,5.7,80
  2014 Mar,66,8,76
  2014 Feb,0.2,8.8,74.5
  2014 Jan,75.4,5.3,78.5
  2013 Dec,348.2,3.5,85.8
  2013 Nov,292.4,4.5,84.6
  2013 Oct,285.4,6.3,79.9
  2013 Sep,257,4.6,81.3
  2013 Aug,165.6,6.1,79
  2013 Jul,174.6,5.7,79.9
  2013 Jun,111.4,6.4,74.6
  2013 May,211.4,5.4,83.1
  2013 Apr,159.4,5.2,82.7
  2013 Mar,85.8,7.5,80.4
  2013 Feb,395.2,4,86.9
  2013 Jan,262,6,82.1
  2012 Dec,363.4,3.6,87
  2012 Nov,208.2,4.4,85.4
  2012 Oct,122.2,5.9,81.3
  2012 Sep,107.6,5.6,79.7
  2012 Aug,119,6.1,79.8
  2012 Jul,130.8,6.2,81.1
  2012 Jun,53,6,79
  2012 May,292,5.6,83.1
  2012 Apr,260.6,5.8,85.1
  2012 Mar,313.4,4.2,87.3
  2012 Feb,83.6,7,85.6
  2012 Jan,106.1,6,87.3
  2011 Dec,284.6,3.3,88.4
  2011 Nov,377.8,4.7,87.8
  2011 Oct,216.8,5.3,87.4
  2011 Sep,136.4,5.1,82.7
  2011 Aug,81.4,6.1,82.6
  2011 Jul,76.6,7.8,81.3
  2011 Jun,213,5,83.7
  2011 May,127,5.9,85.3
  2011 Apr,217.8,7.2,83.9
  2011 Mar,256.6,4.6,85.5
  2011 Feb,23,7.5,81.1
  2011 Jan,513.2,4.5,85.8
  2010 Dec,181.4,3.6,85.3
  2010 Nov,278.8,5,85.9
  2010 Oct,166.2,4.2,82.3
  2010 Sep,121.5,5.7,82.5
  2010 Aug,158.4,5.4,84.2
  2010 Jul,298.5,4.6,84.8
  2010 Jun,240.5,5.1,83.9
  2010 May,157.5,6.5,82.2
  2010 Apr,158.5,6.2,84.1
  2010 Mar,238,6.1,79.9
  2010 Feb,6.3,8.8,77.3
  2010 Jan,69.5,7.1,82.1
  2009 Dec,189.8,4.8,86.3
  2009 Nov,281.8,4.7,85.6
  2009 Oct,133.4,5.4,82.8
  2009 Sep,109.6,5.6,82
  2009 Aug,177.8,6.5,80.7
  2009 Jul,161,6.2,80.8
  2009 Jun,21.8,6.7,79.8
  2009 May,198.6,6.6,83
  2009 Apr,183.7,6.2,82.2
  2009 Mar,223.3,5.5,85.4
  2009 Feb,201.8,6.5,80.7
  2009 Jan,38.3,6.6,79.1
  2008 Dec,244.2,4.7,83.7
  2008 Nov,324.3,4,85.9
  2008 Oct,159.5,4.5,84.9
  2008 Sep,164.4,5.1,82.7
  2008 Aug,327.3,5.5,83.8
  2008 Jul,89.1,4.9,81.3
  2008 Jun,118.3,5.6,81.5
  2008 May,124.9,6.6,79.1
  2008 Apr,87.2,6,82
  2008 Mar,294.1,4.3,87.1
  2008 Feb,129.2,5.5,82.9
  2008 Jan,262.6,6.1,86
  2007 Dec,468.6,4.5,86.8
  2007 Nov,367.9,3.5,86.5
  2007 Oct,237.2,5.6,83.2
  2007 Sep,149,5.8,83.3
  2007 Aug,190.7,5.7,82.9
  2007 Jul,141.7,3.9,84.8
  2007 Jun,139,6,82.8
  2007 May,127.2,5.5,84.8
  2007 Apr,240.2,5.9,84.7
  2007 Mar,269.1,5.8,84.9
  2007 Feb,105.5,7.6,82.5
  2007 Jan,450.1,4.1,86.8
  2006 Dec,765.9,3.2,88.5
  2006 Nov,185.6,5.6,87.4
  2006 Oct,102,4.8,80.9
  2006 Sep,83.3,5.3,81
  2006 Aug,127.3,6.7,81.9
  2006 Jul,153.8,6.9,83.8
  2006 Jun,236.8,5.5,86.3
  2006 May,205.7,5,85.2
  2006 Apr,239.8,5.3,87
  2006 Mar,83.1,7.1,81.3
  2006 Feb,115.5,7.4,84
  2006 Jan,454.4,4.8,87.8
  2005 Dec,166,4.5,85.6
  2005 Nov,362.9,4.4,86.4
  2005 Oct,314.5,5.1,85.2
  2005 Sep,175.7,6.2,84.2
  2005 Aug,58.5,6.5,82.9
  2005 Jul,104,5.4,84
  2005 Jun,82.3,5.4,82.7
  2005 May,331.1,5.5,84.6
  2005 Apr,81.7,7,81
  2005 Mar,82.4,7.2,80.3
  2005 Feb,8.4,9.1,77.7
  2005 Jan,163.2,6.5,83.3
  2004 Dec,139.8,4.9,85.2
  2004 Nov,166.2,5.8,86.1
  2004 Oct,125.6,5.1,83.9
  2004 Sep,128.9,5.9,83.6
  2004 Aug,185.2,7.3,80.3
  2004 Jul,166.6,4.2,85.3
  2004 Jun,127.2,6.4,79.8
  2004 May,137.6,6,82.1
  2004 Apr,57.1,7,82.3
  2004 Mar,269.4,4.8,85.8
  2004 Feb,31.9,7.7,80.5
  2004 Jan,600.9,6.7,86.7
  2003 Dec,273,3.9,87.2
  2003 Nov,133.8,4.2,87.3
  2003 Oct,351.4,5.1,84.9
  2003 Sep,205.3,5,84.8
  2003 Aug,193.6,6.1,83.1
  2003 Jul,170.4,5.6,81.7
  2003 Jun,50.3,7,78.5
  2003 May,81.8,5.9,81.7
  2003 Apr,159.9,5.1,86.7
  2003 Mar,154.6,6.9,83.8
  2003 Feb,172.9,5.8,85
  2003 Jan,444.2,4.7,86.9
  2002 Dec,255,4.8,88.7
  2002 Nov,307.2,4.6,85.8
  2002 Oct,10.8,6.2,79.8
  2002 Sep,124.2,5.5,81.7
  2002 Aug,54.2,6.7,79.2
  2002 Jul,233.7,6.8,82.7
  2002 Jun,83.1,6.3,82.1
  2002 May,236.6,6.2,82.3
  2002 Apr,116.5,6.6,82.3
  2002 Mar,55.6,7.6,80.8
  2002 Feb,50.8,7.4,80.9
  2002 Jan,221.2,6.9,83.6
  2001 Dec,609,4.5,86.8
  2001 Nov,175.3,3.7,84.9
  2001 Oct,252.2,4.2,83.7
  2001 Sep,162,6.2,82.3
  2001 Aug,158.3,4.9,83.7
  2001 Jul,111.3,8.1,80.8
  2001 Jun,137.1,4.9,82.5
  2001 May,164.9,6,85
  2001 Apr,203.3,5.4,86
  2001 Mar,297.3,5.4,84.5
  2001 Feb,86.6,4.9,83.6
  2001 Jan,425.8,4.4,87.4
  2000 Dec,236,4.2,87.6
  2000 Nov,385.7,3.7,87.1
  2000 Oct,120.9,4,82.1
  2000 Sep,81.1,6.2,82.2
  2000 Aug,113.5,5.1,83.8
  2000 Jul,116.1,6.5,82.6
  2000 Jun,157.5,4.6,84.3
  2000 May,96.8,6.8,82.4
  2000 Apr,311.6,5.3,85.6
  2000 Mar,238.3,5.8,85.8
  2000 Feb,237.8,5.8,86.5
  2000 Jan,275.2,4,86.9
  1999 Dec,340.5,4.1,85.3
  1999 Nov,241.5,4.7,84.4
  1999 Oct,205,4.8,84.6
  1999 Sep,125.9,6.5,81.7
  1999 Aug,204,5.7,84.1
  1999 Jul,225.4,6.8,82.7
  1999 Jun,103.4,6,81.9
  1999 May,157.1,5.7,84.4
  1999 Apr,88.5,5.8,82.6
  1999 Mar,181.4,4.3,87.5
  1999 Feb,67.4,6.7,82.4
  1999 Jan,193.9,3.9,88.3
  1998 Dec,463.4,3.1,88.5
  1998 Nov,107.2,4.6,81.9
  1998 Oct,222.7,5,82.3
  1998 Sep,258.2,4.5,84.1
  1998 Aug,195,4.6,85.4
  1998 Jul,259.2,5.1,81.8
  1998 Jun,198.8,5.3,82.1
  1998 May,370.8,5.9,82.3
  1998 Apr,187.7,6.7,81.8
  1998 Mar,58.8,7.6,77.8
  1998 Feb,32.5,8.9,78.3
  1998 Jan,268.8,7.4,83.2
  1997 Dec,351.9,5.3,85.3
  1997 Nov,158.3,5.4,82.8
  1997 Oct,78.4,3.2,81
  1997 Sep,31.1,3.2,77
  1997 Aug,86.6,5.7,78.2
  1997 Jul,18.6,6.5,76.5
  1997 Jun,78.9,7.3,76.7
  1997 May,41.6,6.8,77.7
  1997 Apr,118.4,5.6,82.7
  1997 Mar,34.3,7,79.6
  1997 Feb,105.4,4.9,80.8
  1997 Jan,15.4,7.7,77.3
  1996 Dec,185.5,4.5,82.9
  1996 Nov,180.2,4.4,83.5
  1996 Oct,300,4.3,83
  1996 Sep,297,4.8,82.2
  1996 Aug,258.4,5,83.4
  1996 Jul,162.3,6.8,81.9
  1996 Jun,265.8,5.9,84.3
  1996 May,107.5,7,83.7
  1996 Apr,178.2,5.4,85.5
  1996 Mar,129.7,7.7,81
  1996 Feb,180.2,5.8,84.6
  1996 Jan,173.2,5.2,84.2
  1995 Dec,302.5,3.1,86.6
  1995 Nov,372.8,3.7,86.8
  1995 Oct,101.1,4.7,82.8
  1995 Sep,29.5,5.8,81.6
  1995 Aug,211.6,4.1,85.6
  1995 Jul,173.6,5.2,82.6
  1995 Jun,63.7,6.6,81.9
  1995 May,84.4,6,83.7
  1995 Apr,242.3,5.7,85.3
  1995 Mar,67.7,5.9,83.9
  1995 Feb,334,4.9,87.5
  1995 Jan,349.4,5,86.2
  1994 Dec,425.4,5.3,85.5
  1994 Nov,322.2,4.5,88.4
  1994 Oct,84.7,4.5,81.5
  1994 Sep,23.7,3.8,78.7
  1994 Aug,45.1,6.5,80
  1994 Jul,53.8,7.6,78.9
  1994 Jun,184.7,6,83.5
  1994 May,169.6,5,84.8
  1994 Apr,154,5.8,84.8
  1994 Mar,288.2,3.5,87.1
  1994 Feb,133.5,6.4,84.5
  1994 Jan,56.9,6.2,82.1
  1993 Dec,308.5,4.2,87.4
  1993 Nov,250.8,4.7,87.4
  1993 Oct,175.5,5.2,84.3
  1993 Sep,61.7,5.9,81.4
  1993 Aug,106.8,7.4,79.4
  1993 Jul,240,5.2,83.2
  1993 Jun,115.5,6.2,80.9
  1993 May,129.9,6.1,82.9
  1993 Apr,283.9,6.4,84.5
  1993 Mar,250.5,5.4,86.3
  1993 Feb,69.2,8.5,80.5
  1993 Jan,176.4,5.5,85.7
  1992 Dec,502.7,3.4,90.3
  1992 Nov,474.3,3.7,87.7
  1992 Oct,233.2,4.5,82
  1992 Sep,83.6,5.1,82.9
  1992 Aug,76.1,5.7,81.1
  1992 Jul,290.8,4.7,83.8
  1992 Jun,162.8,5.5,82.7
  1992 May,63.1,5.7,83.3
  1992 Apr,160.3,6.5,82.4
  1992 Mar,67.6,7.4,80.6
  1992 Feb,62.4,7.7,80.5
  1992 Jan,83.9,6.6,82.4
  1991 Dec,492.3,3,90.7
  1991 Nov,205,3.5,86.5
  1991 Oct,52,4.2,81.4
  1991 Sep,123.1,4.1,83
  1991 Aug,226.2,5.3,79.8
  1991 Jul,37.3,6.7,78.7
  1991 Jun,88.7,7.1,81
  1991 May,256.4,5.1,86.6
  1991 Apr,134.2,5.8,84.3
  1991 Mar,92.4,7.1,79.9
  1991 Feb,45.5,7,81.6
  1991 Jan,123.9,5.6,84.1
  1990 Dec,201.1,5.5,86
  1990 Nov,180.4,4.6,83.5
  1990 Oct,56.4,5.9,83.5
  1990 Sep,204.5,5.1,83.2
  1990 Aug,146.6,5.8,82.3
  1990 Jul,124,5.9,82.7
  1990 Jun,112.6,6.3,80.7
  1990 May,180.1,6.5,81.1
  1990 Apr,52.4,6.3,81.2
  1990 Mar,94.2,8.3,77.6
  1990 Feb,24.1,8.9,80.9
  1990 Jan,147.4,5.3,83.8
  1989 Dec,179.7,4.8,85.5
  1989 Nov,508.4,5.5,86
  1989 Oct,111,5.5,83.7
  1989 Sep,247.3,5.5,84.4
  1989 Aug,201,5.3,83.7
  1989 Jul,157.6,6,82.6
  1989 Jun,117.6,6,83.3
  1989 May,194,5.2,86.6
  1989 Apr,198.6,5.7,86.4
  1989 Mar,305.9,4.5,87.6
  1989 Feb,52.4,6.7,78.3
  1989 Jan,189.7,5.8,84.1
  1988 Dec,62.9,5.7,81.1
  1988 Nov,401.4,3.7,86.8
  1988 Oct,134.6,4.1,83.2
  1988 Sep,440.4,4.8,84.5
  1988 Aug,80.1,4.9,84.9
  1988 Jul,305.4,6,84
  1988 Jun,252.2,6.5,81.6
  1988 May,229.6,5.6,82.7
  1988 Apr,109.6,5.4,84.5
  1988 Mar,186.8,5.2,85.3
  1988 Feb,158.1,6.7,83.2
  1988 Jan,237.5,5.9,84.3
  1987 Dec,72.8,4.8,84.6
  1987 Nov,347.6,4.5,84
  1987 Oct,22.6,5.8,82.1
  1987 Sep,129.9,5.4,82.5
  1987 Aug,191.9,5.1,83.6
  1987 Jul,80.9,6.7,81.3
  1987 Jun,126.6,6.8,80.7
  1987 May,270,5.6,84.6
  1987 Apr,72.5,6.2,82.8
  1987 Mar,132.5,6.9,83.2
  1987 Feb,86.9,9.2,79
  1987 Jan,568.6,4,86
  1986 Dec,367.2,5.4,85.2
  1986 Nov,256.7,4.5,84.1
  1986 Oct,227.3,5,85
  1986 Sep,396,4.7,84.4
  1986 Aug,72.9,5.6,77.3
  1986 Jul,109.7,6.2,79.9
  1986 Jun,122.9,6.8,82.5
  1986 May,145.1,6.2,81.8
  1986 Apr,150,6.2,85.3
  1986 Mar,353.4,6.2,86.6
  1986 Feb,26.7,7.2,78.4
  1986 Jan,308.2,3.9,83.9
  1985 Dec,340.1,4.6,86.2
  1985 Nov,179.4,4.1,85
  1985 Oct,169,4.1,84.7
  1985 Sep,110.7,5,83.1
  1985 Aug,56.9,6.2,80.4
  1985 Jul,131.8,5.3,83.1
  1985 Jun,37,5.8,79.4
  1985 May,70.1,5.7,83.4
  1985 Apr,110.5,5.5,83.8
  1985 Mar,88,5.6,83.9
  1985 Feb,79.3,6.5,84
  1985 Jan,111.1,8.7,81.5
  1984 Dec,277.4,3.3,86.7
  1984 Nov,127.7,4.3,86.3
  1984 Oct,187.5,5.2,82.5
  1984 Sep,186.7,4.9,83.9
  1984 Aug,102.7,6,84.1
  1984 Jul,127.2,5.7,83.7
  1984 Jun,255,5.4,83.1
  1984 May,186.5,6.4,84.1
  1984 Apr,153.1,6.2,83.8
  1984 Mar,361.3,5.3,85.4
  1984 Feb,470.4,4.1,86
  1984 Jan,251.2,4.1,85.8
  1983 Dec,355.6,2.7,89.7
  1983 Nov,227.5,3.2,86.1
  1983 Oct,149.1,5.2,82
  1983 Sep,250.1,3.9,84.6
  1983 Aug,176,6.3,83.1
  1983 Jul,124.1,5.4,86.3
  1983 Jun,110.4,5.9,84.7
  1983 May,292.9,5.9,86.4
  1983 Apr,43.1,6.6,81.6
  1983 Mar,64.4,8.9,80.3
  1983 Feb,34,9.3,81.4
  1983 Jan,253.6,4.3,87.4
  1982 Dec,418.2,3.3,88.7
  1982 Nov,189.9,5.8,86.3
  1982 Oct,75.8,5.6,83.6
  1982 Sep,42.1,5.2,83.7
  1982 Aug,234.8,5.4,83.7
  1982 Jul,58.5,7.6,80.3
  1982 Jun,62.5,7.3,81.8
  1982 May,166.4,5.8,85.6
  1982 Apr,227.5,4.7,88.1
  1982 Mar,90.7,5.1,85.4
  1982 Feb,97.4,7.6,82.1
  1982 Jan,85.8,5.6,83.7
  1981 Dec,381.5,5,87
  1981 Nov,53.5,3.7,83.3
  1981 Oct,78.5,5.7,85.6
  1981 Sep,149.3,4.8,79
  1981 Aug,49.5,7.9,77.9
  1981 Jul,207,6.1,81.4
  1981 Jun,67.8,6.8,81
  1981 May,158.4,4.2,87.3
  1981 Apr,141,4.7,86.2
  1981 Mar,55.5,7.7,82.3
  1981 Feb,176.5,7,84.5
  1981 Jan,37.3,5.9,82.1
  1980 Dec,226.7,3.9,88.6
  1980 Nov,248.6,4.2,89.2
  1980 Oct,351.3,5.4,85.1
  1980 Sep,118.1,5.3,85.8
  1980 Aug,254,4.8,86.3
  1980 Jul,146.3,6.1,85
  1980 Jun,125.1,6.1,85.4
  1980 May,183.1,6.5,85.4
  1980 Apr,196.6,4.9,86.7
  1980 Mar,57.5,6.7,84.8
  1980 Feb,92.2,7.4,85.9
  1980 Jan,326.2,6.5,85.6
  1979 Dec,124.8,5.9,85.4
  1979 Nov,309.4,3,91.1
  1979 Oct,299,4.3,86
  1979 Sep,171.6,5.6,85.7
  1979 Aug,134.7,7.5,83.7
  1979 Jul,206.1,5.5,85.2
  1979 Jun,173.2,5.2,87.4
  1979 May,162.5,6,86
  1979 Apr,282.1,4.5,88.5
  1979 Mar,132.9,6,84.1
  1979 Feb,97.5,7.5,83.5
  1979 Jan,74.3,7.5,83.5
  1978 Dec,669.8,5.2,88.7
  1978 Nov,357,3.8,88.5
  1978 Oct,143.2,4.4,86.8
  1978 Sep,185.1,4.8,86.1
  1978 Aug,129.8,5.6,82.6
  1978 Jul,167.1,5.8,84.9
  1978 Jun,197,5.7,85.3
  1978 May,174.7,5.2,86.9
  1978 Apr,146.1,6.6,85.9
  1978 Mar,187.7,6.1,85.7
  1978 Feb,93.1,7.3,84.5
  1978 Jan,315.4,5.6,87.5
  1977 Dec,199.5,5.4,89.3
  1977 Nov,356.4,3.8,90.3
  1977 Oct,56.3,6,85.4
  1977 Sep,216.9,5.1,86.5
  1977 Aug,217,5.2,86.7
  1977 Jul,118.9,6.5,86.2
  1977 Jun,201.5,5.3,86.8
  1977 May,117.7,6.4,83.3
  1977 Apr,16.6,6.7,81.1
  1977 Mar,25.9,7.5,82
  1977 Feb,196,3.7,86.8
  1977 Jan,52,7.3,83.1
  1976 Dec,303.6,5.3,89.9
  1976 Nov,237.1,4.2,88.5
  1976 Oct,243.2,4.5,87.6
  1976 Sep,217.9,5.9,85.3
  1976 Aug,150.5,6.8,85.8
  1976 Jul,242.5,6.1,84.6
  1976 Jun,100.1,6.4,83.5
  1976 May,138,6.8,85
  1976 Apr,277.4,5.3,86.3
  1976 Mar,122.5,6,83.4
  1976 Feb,89.5,7.8,79.1
  1976 Jan,44.3,7.4,80.4
  1975 Dec,126.6,4.9,87.4
  1975 Nov,298.4,3.4,89.7
  1975 Oct,169.8,4.4,86
  1975 Sep,146.5,5.5,86.8
  1975 Aug,177,6,86.3
  1975 Jul,192.5,6.1,86.5
  1975 Jun,212.8,4.9,86.5
  1975 May,104.6,5.6,86.1
  1975 Apr,79.7,5.7,87.9
  1975 Mar,197.9,5.8,87.8
  1975 Feb,98.6,4.8,86.2
  1975 Jan,121,6.2,85.8
,,,
Footnotes:,,,
"With effect from January 1984, data are from designated climate station located at Changi, Singapore.",,,
,,,
Notation:,,,
na   not available or not applicable,,,
nec  not elsewhere classified,,,
nes  not elsewhere specified,,,
 -     nil or negligible or not significant,,,
Notes,,,
Numbers may not add up to the totals due to rounding.,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,
Values are shown in Singapore dollars (unless otherwise specified).,,,
,,,
Generated by: SingStat Table Builder,,,
Date generated: 09/07/2023,,,
Contact: info@singstat.gov.sg,,,
